,urban_score,oxford_score,follower_score,favorite_score,friend_score,sex_words_ratio,posneg,compound
24496,0.151515,0.010526299999999999,4.563169999999999e-06,0.00744794,0.000532252,0.021680216802168,-0.263,-0.891
24497,0.0606061,0.0,0.0245043,0.00481731,0.0018855999999999999,0.0102695763799743,0.0,0.0
24498,0.0606061,0.0,0.000341471,0.109648,0.0006393519999999999,0.016260162601626,-0.067,-0.2023
24499,0.030302999999999997,0.0,0.000341471,0.109648,0.0006393519999999999,0.00542005420054201,-0.013999999999999999,-0.0772
24500,0.030302999999999997,0.0,2.12171e-05,0.058187,0.00010142,0.00650406504065041,-0.2,-0.5423
24501,0.181818,0.0,0.000341471,0.109648,0.0006393519999999999,0.0254506892895016,0.0,0.0
24502,0.0,0.010526299999999999,0.000341471,0.109648,0.0006393519999999999,0.0048780487804878,0.092,0.4854
24503,0.0606061,0.010526299999999999,0.000341471,0.109648,0.0006393519999999999,0.0292682926829268,-0.255,-0.34
24504,0.0606061,0.2,0.000341471,0.109648,0.0006393519999999999,0.34146341463414603,-0.419,-0.5574
24505,0.0,0.0,0.000341471,0.109648,0.0006393519999999999,0.0,-0.333,-0.7906
24506,0.0606061,0.0,0.000341471,0.109648,0.0006393519999999999,0.010840108401084,-0.154,-0.3662
24507,0.0606061,0.0,0.000341471,0.109648,0.0006393519999999999,0.0177383592017738,0.255,0.4084
24508,0.0606061,0.0,0.000341471,0.109648,0.0006393519999999999,0.0102695763799743,-0.097,-0.0772
24509,0.0,0.0,0.000341471,0.109648,0.0006393519999999999,0.0,-0.171,-0.5423
24510,0.181818,0.0,1.2657e-06,0.000243516,0.00020284,0.0234146341463415,-0.08,-0.3384
24511,0.0,0.0,9.159640000000001e-07,0.00591892,0.000109534,0.0,0.0,0.0
24512,0.030302999999999997,0.0,1.1824299999999999e-06,0.00139814,0.000251522,0.008130081300813009,-0.421,-0.7609
24513,0.0,0.0,1.06252e-05,0.00318393,0.00135822,0.0,0.0,0.0
24514,0.0606061,0.0,4.82963e-07,0.000614587,3.24544e-05,0.009291521486643441,0.089,0.2382
24515,0.0,0.0,2.14835e-06,0.000834911,0.000227992,0.0,0.0,0.0
24516,0.030302999999999997,0.0,5.27429e-05,0.00736511,0.00028559900000000004,0.006968641114982579,0.15,0.3182
24517,0.12121199999999999,0.0,6.495019999999999e-07,0.00130538,0.00014198799999999998,0.0185830429732869,0.20600000000000002,0.5716
24518,0.0,0.0,8.36026e-06,0.0148859,0.000159027,0.0,0.0,0.0
24519,0.030302999999999997,0.0,0.000341471,0.109648,0.0006393519999999999,0.008130081300813009,-0.12,-0.128
24520,0.0,0.0,0.000341471,0.109648,0.0006393519999999999,0.0,0.145,0.5719
24521,0.0,0.0,0.000341471,0.109648,0.0006393519999999999,0.0,0.0,0.0
24522,0.0909091,0.0,0.000341471,0.109648,0.0006393519999999999,0.0121951219512195,0.057999999999999996,0.1531
24523,0.212121,0.0,0.000341471,0.109648,0.0006393519999999999,0.024390243902439,-0.12,-0.4767
24524,0.0909091,0.0,0.000341471,0.109648,0.0006393519999999999,0.0121951219512195,-0.241,-0.7906
24525,0.12121199999999999,0.0,0.000341471,0.109648,0.0006393519999999999,0.0229555236728838,0.144,0.4019
24526,0.0909091,0.22105300000000003,2.06508e-05,0.00928342,0.000647466,0.106430155210643,0.02400000000000002,0.1843
24527,0.030302999999999997,0.0,1.99847e-06,0.00130538,0.000498987,0.016260162601626,0.545,0.6988
24528,0.0,0.0,3.06432e-06,0.000795154,0.000210142,0.0,-0.193,-0.284
24529,0.181818,0.0,3.66386e-07,0.00010436399999999999,4.62475e-05,0.0254506892895016,-0.101,-0.4519
24530,0.0,0.0,1.9818099999999997e-06,4.80405e-05,0.00045192800000000004,0.0,0.0,0.0
24531,0.0,0.0,7.494249999999999e-07,0.00162013,0.00013630899999999999,0.0,0.0,0.0
24532,0.151515,0.0,7.1778300000000005e-06,0.0234057,0.00101258,0.0286944045911047,0.405,0.7814
24533,0.0,0.0,5.94544e-06,0.0593251,0.000361055,0.0,0.07599999999999998,0.2263
24534,0.030302999999999997,0.0,0.0245043,0.00481731,0.0018855999999999999,0.0139372822299652,-0.542,-0.7105
